YouTube ID,Chapter,Piece,Player,Gender,Comment
EInh4vYAIDo,,"Bridge,_Frank/_/Adoration,_H.57",Sir Thomas Allen ,Male,
TV_OproxKwM,,"Bridge,_Frank/_/Adoration,_H.57",Carolyn Sampson,Female,
ThggwBudF40,,"Bridge,_Frank/_/Adoration,_H.57",Philip Frohnmayer,Male,
_cfMXWjVLsA,,"Bridge,_Frank/_/Adoration,_H.57",Hannah Morley,Female,
pAYXvNmT03U,,"Bridge,_Frank/_/Adoration,_H.57",Amanda Roocroft,Female,
62jrkgm6TtQ,,"Bridge,_Frank/_/Adoration,_H.57",Stanley Wilson,Male,
A_GlATnyHTE,,"Bridge,_Frank/_/Come_to_Me_in_my_Dreams,_H.71",Dame Sarah Connolly,Female,
7QxksbQQ4r8,,"Bridge,_Frank/_/Come_to_Me_in_my_Dreams,_H.71",Brittany Mruczek,Female,
NannsQtIjMg,,"Bridge,_Frank/_/Come_to_Me_in_my_Dreams,_H.71",Sophie Bevan,Female,
fOraM3MjQIA,,"Bridge,_Frank/_/Come_to_Me_in_my_Dreams,_H.71",Jodie Devos,Female,
tcDFxnx9wzQ,,"Bridge,_Frank/_/Come_to_Me_in_my_Dreams,_H.71",Sarah Wegener,Female,
hI1BWb5s-ew,,"Bridge,_Frank/_/Come_to_Me_in_my_Dreams,_H.71",Bernadette Johns,Female,
wujcYO9pkbs,,"Bridge,_Frank/_/Come_to_Me_in_my_Dreams,_H.71",Mark Stone,Male,
vcRAtJ3_ZSs,,"Bridge,_Frank/_/Come_to_Me_in_my_Dreams,_H.71",Ilze Grēvele-Skaraine,Female,
vcuuENYy5WM,,"Bridge,_Frank/_/Come_to_Me_in_my_Dreams,_H.71",Yvonne Kenny,Female,
3GVqO-pOh90,,"Bridge,_Frank/_/Fair_Daffodils,_H.51",Stephen Varcoe,Male,
TRGrUYjGgK8,,"Bridge,_Frank/_/Love_went_a-riding,_H.114",Kate Royal,Female,
rIA1GNgctI4,,"Bridge,_Frank/_/Love_went_a-riding,_H.114",Ian Koziara,Male,
bVmWaw8PbuA,,"Bridge,_Frank/_/Love_went_a-riding,_H.114",Mark Stone,Female,
Xzvku7dAhrc,,"Bridge,_Frank/_/Love_went_a-riding,_H.114",Arleen Auger,Female,
RB1S5W_74dA,,"Bridge,_Frank/_/Love_went_a-riding,_H.114",Jodie Devos,Female,
lPB7ZVshs74,,"Bridge,_Frank/_/Love_went_a-riding,_H.114",Victoria Songwei Li,Female,
HnXo3H3nZX0,,"Bridge,_Frank/_/Love_went_a-riding,_H.114",Elizabeth Polese,Female,
oGhHJJGj580,,"Bridge,_Frank/_/Love_went_a-riding,_H.114",Carol Lin,Female,
fLwol_RyeW0,,"Bridge,_Frank/_/So_Perverse,_H.61",Peter Pears,Male,
xNeP4IEKhlY,,"Bridge,_Frank/_/So_Perverse,_H.61",Julia Kogan,Female,
L9on6YecbBk,,"Bridge,_Frank/_/So_Perverse,_H.61",Sir Thomas Allen,Male,
LmrdXJFXb60,,"Bridge,_Frank/_/The_Last_Invocation,_H.136",Liam Bonthrone,Male,
RnWxiKP5j24,,"Bridge,_Frank/_/The_Last_Invocation,_H.136",Stanley Wilson,Male,
BzADgMMAVIA,,"Bridge,_Frank/_/The_Last_Invocation,_H.136",Patricia Wright,Female,
T2PFRBQXVzk,,"Bridge,_Frank/_/The_Last_Invocation,_H.136",Thomas Hampson,Male,
u-MQ66oLNGU,,"Bridge,_Frank/_/The_Violets_Blue,_H.69",Caroline Taylor,Female,
wAmJoj0a7hw,,"Bridge,_Frank/_/The_Violets_Blue,_H.69",Stephen Varcoe,Male,
3Afae34MrCc,,"Bridge,_Frank/_/Thy_Hand_in_Mine,_H.124",Kathryn Rudge,Female,
XMmbe8mHvYk,,"Bridge,_Frank/_/Thy_Hand_in_Mine,_H.124",Simon Keenlyside,Male,
6gE8HmP3jU0,,"Bridge,_Frank/_/Thy_Hand_in_Mine,_H.124",Philip Andrew Himebook,Male,
DkBxRAA6dgE,,"Bridge,_Frank/_/’Tis_but_a_Week,_H.146",Sophie Bevan,Female,
WISGm5C007g,,"Bridge,_Frank/_/’Tis_but_a_Week,_H.146",Peter Pears,Male,
